UNIQUE_ID,Dataset,Source,Type,number_subLayer,study_area_overlap,study_region_overlap,Spatial_res,Temporal_res,Last_updated,Source_link,Metadata_link,Notes,Size_GB,Confidential,Downloaded,used_in_modelling
NA,EFH Areas Protected From Fishing,NOAA,poly,,,,,,,https://idpgis.ncep.noaa.gov/arcgis/rest/services/NMFS/EFHAreasProtectedFromFishing/MapServer/0,,,,N,,N
NA,Cetacean Biologically Important Areas for Migration,NOAA,poly,,,,,,,https://coast.noaa.gov/arcgis/rest/services/OceanReports/CetaceanBiologicallyImportantAreas_Migration/MapServer/0,https://coast.noaa.gov/arcgis/rest/services/OceanReports/CetaceanBiologicallyImportantAreas_Migration/MapServer/0/metadata,,,N,,N
NA,"Atlantic Fishing Revenue Intensity, 2007-2012",BOEM,poly,,,,,,,https://gis.boem.gov/arcgis/rest/services/BOEM_BSEE/MMC_Layers/MapServer/31,,No equivalent AK file?,,N,,N
NA,Fishing and Caution Areas,BOEM,poly,,,,,,,https://gis.boem.gov/arcgis/rest/services/AtlanticFishGuide/Atlantic_Coast_Fishing_Atlas/MapServer/2,,Specific to Atlantic,,N,,Y
NA,Communities at Sea - VTR Bottom Trawl Large Vessels 65+ ft 2011-2015,Rutgers Univ.,raster,,,,,,,,,,,N,,Y
NA,Communities at Sea - VTR Bottom Trawl Small Vessels 2011-2015,Rutgers Univ.,raster,,,,,,,,,,,N,,Y
NA,Communities at Sea - VTR Dredge 2011-2015,Rutgers Univ.,raster,,,,,,,,,,,N,,Y
NA,Communities at Sea - VTR Gillnet 2011-2015,Rutgers Univ.,raster,,,,,,,,,,,N,,Y
NA,Communities at Sea - VTR Longline 2011-2015,Rutgers Univ.,raster,,,,,,,,,,,N,,Y
NA,Communities at Sea - VTR Pots and Traps 2011-2015,Rutgers Univ.,raster,,,,,,,,,,,N,,Y
NA,ADD - Pelagic Longline 2011 - 2020,NOAA,raster,,,,,2011 - 2020,2020,Received from John Walter 6/2/2022,,,,N,,Y
NA,ADD - VMS Raster layers 2016,NOAA,raster,,,,5 minutes,2016 - 2021,2021,Received from Benjamin Galuardi and Doug Christel 6/27/2022 ,,Values are poll counts/cell. Different fishieries poll at different rates. At least 3 vessels per cell. Set a minimum of 24 polls (hrs)/cell,,N,,Y
NA,ADD - VMS Raster layer 2017,,,,,,,,,,,,,N,,Y
NA,ADD - VMS Raster layer 2018,,,,,,,,,,,,,N,,Y
NA,ADD - VMS Raster layer 2019,,,,,,,,,,,,,N,,Y
NA,ADD - VMS Raster layer 2020,,,,,,,,,,,,,N,,Y
NA,ADD - VMS Raster layer 2021,,,,,,,,,,,,,N,,Y
NA,ADD - VMS All Gear Types All Years,NOAA,raster,,,,,2016 - 2021,2021,Received from Benjamin Galuardi and Doug Christel 6/28/2022,,,,N,,Y
NA,ADD - HMS Recreational Effort 2002 - 2019,NOAA,raster,,,,,2002 - 2019,,Received from John Walter 6/2/2022,,,,N,,Y
NA,NEED - Coastal Fisheries Logbook,,,,,,,,,,,,,N,,N
NA,ADD - EFH Overfished/Prohibited Sharks Count,,,,,,,,,Data received from Tobey Curtis 7/11/2022; processed by JJ,,,,N,,N
NA,ADD - EFH Target Species Count,,,,,,,,,Data received from Tobey Curtis 7/11/2022; processed by JJ,,,,N,,N
AKG246,Essential Fish Habitat (EFH),NOAA,poly,,,,,,,https://idpgis.ncep.noaa.gov/arcgis/rest/services/NMFS/EFH_Only/MapServer/0;%20https:/oceandata.rad.rutgers.edu/arcgis/rest/services/MarineLife/EssentialFishHabitats/MapServer/0,,JM - No Access,,N,,Y
AKG204,Seafood Project Area ZOD Polygon,Alaska Department of Environmental Conservation,,https://data-soa-adec.opendata.arcgis.com/datasets/ADEC::seafood-project-area-zod-polygon-1/about,,,,,,"Alaska Department of Environmental Conservation. (2021, December 10). Seafood Project Area ZOD Polygon. https://data-soa-adec.opendata.arcgis.com/datasets/ADEC::seafood-project-area-zod-polygon-1/about",,,,N,,N
AKG252,FWS NWRS Marine Protected Areas,State of Alaska Open Data Geoportal,,https://gis.data.alaska.gov/datasets/fws::fws-nwrs-marine-protected-areas/about,,,,,,"Easterbrook, R. (2020, July 22). FWS NWRS Marine Protected Areas. https://gis.data.alaska.gov/datasets/fws::fws-nwrs-marine-protected-areas/about",,,,N,,N
